Port,Status,Service
21,CLOSED,N/A
20,CLOSED,N/A
22,OPEN,SSH
23,CLOSED,N/A
26,CLOSED,N/A
25,CLOSED,N/A
27,CLOSED,N/A
29,CLOSED,N/A
28,CLOSED,N/A
24,CLOSED,N/A
32,CLOSED,N/A
31,CLOSED,N/A
33,CLOSED,N/A
30,CLOSED,N/A
34,CLOSED,N/A
78,CLOSED,N/A
36,CLOSED,N/A
37,CLOSED,N/A
39,CLOSED,N/A
40,CLOSED,N/A
38,CLOSED,N/A
41,CLOSED,N/A
43,CLOSED,N/A
42,CLOSED,N/A
44,CLOSED,N/A
45,CLOSED,N/A
47,CLOSED,N/A
46,CLOSED,N/A
48,CLOSED,N/A
49,CLOSED,N/A
50,CLOSED,N/A
53,CLOSED,N/A
52,CLOSED,N/A
54,CLOSED,N/A
51,CLOSED,N/A
55,CLOSED,N/A
57,CLOSED,N/A
58,CLOSED,N/A
56,CLOSED,N/A
59,CLOSED,N/A
60,CLOSED,N/A
61,CLOSED,N/A
62,CLOSED,N/A
63,CLOSED,N/A
64,CLOSED,N/A
65,CLOSED,N/A
66,CLOSED,N/A
67,CLOSED,N/A
68,CLOSED,N/A
69,CLOSED,N/A
70,CLOSED,N/A
71,CLOSED,N/A
72,CLOSED,N/A
73,CLOSED,N/A
76,CLOSED,N/A
74,CLOSED,N/A
75,CLOSED,N/A
77,CLOSED,N/A
35,CLOSED,N/A
79,CLOSED,N/A
80,CLOSED,N/A
